Mandate ID,Amount,Reference
CUS0000767,85,CUS0000767
CUS0001092,85,CUS0001092
CUS0001302,160,CUS0001302
CUS0001540,160,CUS0001540
CUS0001617,85,CUS0001617
CUS0001714,85,CUS0001714
CUS0002494,85,CUS0002494
CUS0002526,85,CUS0002526
CUS0002688,85,CUS0002688
CUS0003380,85,CUS0003380
CUS0003421,160,CUS0003421
CUS0003583,85,CUS0003583
CUS0003873,85,CUS0003873
CUS0004033,85,CUS0004033
CUS0004148,85,CUS0004148
CUS0004301,85,CUS0004301
CUS0004559,85,CUS0004559
CUS0004781,85,CUS0004781
CUS0004888,85,CUS0004888
CUS0005138,69,CUS0005138
CUS0005157,160,CUS0005157
CUS0006244,160,CUS0006244
CUS0006364,85,CUS0006364
CUS0006499,85,CUS0006499
CUS0006763,160,CUS0006763
CUS0006778,310,CUS0006778
CUS0006892,85,CUS0006892
CUS0007320,85,CUS0007320
CUS0007371,150,CUS0007371
CUS0007387,160,CUS0007387
CUS0007800,85,CUS0007800
CUS0008075,85,CUS0008075
CUS0008327,160,CUS0008327
CUS0008810,160,CUS0008810
CUS0008854,160,CUS0008854
CUS0009367,85,CUS0009367
CUS0009506,85,CUS0009506
CUS0009720,235,CUS0009720
CUS0010224,160,CUS0010224
CUS0010294,85,CUS0010294
CUS0010642,160,CUS0010642
CUS0010905,160,CUS0010905
CUS0011087,160,CUS0011087
CUS0011145,85,CUS0011145
CUS0011194,85,CUS0011194
CUS0011208,85,CUS0011208
CUS0011558,85,CUS0011558
CUS0011701,85,CUS0011701
CUS0011937,85,CUS0011937
CUS0012081,85,CUS0012081
CUS0013251,85,CUS0013251
CUS0013908,160,CUS0013908
CUS0013955,85,CUS0013955
CUS0014657,85,CUS0014657
CUS0014658,85,CUS0014658
CUS0015184,85,CUS0015184
CUS0016299,160,CUS0016299
CUS0016307,160,CUS0016307
CUS0016542,85,CUS0016542
CUS0016818,85,CUS0016818
CUS0017140,235,CUS0017140
CUS0017174,85,CUS0017174
CUS0017534,85,CUS0017534
CUS0017714,85,CUS0017714
CUS0017925,85,CUS0017925
CUS0017980,85,CUS0017980
CUS0018067,85,CUS0018067
CUS0018821,245,CUS0018821
CUS0018837,85,CUS0018837
CUS0018845,235,CUS0018845
CUS0019005,85,CUS0019005
CUS0019583,85,CUS0019583
CUS0019643,85,CUS0019643
CUS0019846,85,CUS0019846
CUS0019894,85,CUS0019894
CUS0019985,75,CUS0019985
CUS0020469,160,CUS0020469
CUS0020471,85,CUS0020471
CUS0020514,85,CUS0020514
CUS0020784,85,CUS0020784
CUS0021255,85,CUS0021255
CUS0021469,160,CUS0021469
CUS0021774,85,CUS0021774
CUS0021882,85,CUS0021882
CUS0023146,160,CUS0023146
CUS0023218,310,CUS0023218
CUS0023260,85,CUS0023260
CUS0023620,75,CUS0023620
CUS0024517,85,CUS0024517
CUS0024937,85,CUS0024937
CUS0025349,75,CUS0025349
CUS0025966,160,CUS0025966
CUS0026037,160,CUS0026037
CUS0026599,85,CUS0026599
CUS0026879,85,CUS0026879
CUS0027105,85,CUS0027105
CUS0027784,85,CUS0027784
CUS0028019,75,CUS0028019
CUS0028244,160,CUS0028244
CUS0028811,75,CUS0028811
CUS0029044,160,CUS0029044
CUS0029097,235,CUS0029097
CUS0030298,85,CUS0030298
CUS0030408,85,CUS0030408
CUS0030632,85,CUS0030632
CUS0030636,85,CUS0030636
CUS0030863,160,CUS0030863
CUS0030975,85,CUS0030975
CUS0031015,160,CUS0031015
CUS0031353,85,CUS0031353
CUS0031695,85,CUS0031695
CUS0033082,85,CUS0033082
CUS0033149,160,CUS0033149
CUS0033349,85,CUS0033349
CUS0033433,85,CUS0033433
CUS0033502,85,CUS0033502
CUS0033625,160,CUS0033625
CUS0033961,85,CUS0033961
CUS0033962,85,CUS0033962
CUS0034059,160,CUS0034059
CUS0034220,160,CUS0034220
CUS0034587,75,CUS0034587
CUS0035573,85,CUS0035573
CUS0035897,75,CUS0035897
CUS0036030,160,CUS0036030
CUS0036379,235,CUS0036379
CUS0036620,160,CUS0036620
CUS0036913,85,CUS0036913
CUS0036967,235,CUS0036967
CUS0037112,75,CUS0037112
CUS0037173,235,CUS0037173
CUS0037184,85,CUS0037184
CUS0037314,85,CUS0037314
CUS0037315,160,CUS0037315
CUS0037424,160,CUS0037424
CUS0037460,85,CUS0037460
CUS0037668,85,CUS0037668
CUS0037715,85,CUS0037715
CUS0037761,160,CUS0037761
CUS0037876,85,CUS0037876
CUS0037996,85,CUS0037996
CUS0038145,85,CUS0038145
CUS0038281,160,CUS0038281
CUS0038381,160,CUS0038381
CUS0038709,85,CUS0038709
CUS0038879,85,CUS0038879
CUS0038915,85,CUS0038915
CUS0038943,85,CUS0038943
CUS0039088,85,CUS0039088
CUS0039120,85,CUS0039120
CUS0039204,85,CUS0039204
CUS0039432,235,CUS0039432
CUS0039587,85,CUS0039587
CUS0040236,85,CUS0040236
CUS0040407,160,CUS0040407
CUS0040437,69,CUS0040437
CUS0040827,85,CUS0040827
CUS0040945,160,CUS0040945
CUS0040958,160,CUS0040958
CUS0040962,85,CUS0040962
CUS0041131,160,CUS0041131
CUS0041303,85,CUS0041303
CUS0041361,85,CUS0041361
CUS0041362,85,CUS0041362
CUS0041369,385,CUS0041369
CUS0041477,85,CUS0041477
CUS0041483,85,CUS0041483
CUS0041563,85,CUS0041563
CUS0041687,85,CUS0041687
CUS0041765,85,CUS0041765
CUS0041808,85,CUS0041808
CUS0041824,160,CUS0041824
CUS0041892,85,CUS0041892
CUS0041903,85,CUS0041903
CUS0041957,85,CUS0041957
CUS0041960,85,CUS0041960
CUS0042230,85,CUS0042230
CUS0042261,85,CUS0042261
CUS0042367,85,CUS0042367
CUS0042430,85,CUS0042430
CUS0042474,160,CUS0042474
CUS0042523,85,CUS0042523
CUS0042537,85,CUS0042537
CUS0042642,85,CUS0042642
CUS0042990,75,CUS0042990
CUS0043027,85,CUS0043027
CUS0043076,85,CUS0043076
CUS0043141,85,CUS0043141
CUS0043342,85,CUS0043342
CUS0043559,85,CUS0043559
CUS0043585,160,CUS0043585
CUS0043690,75,CUS0043690
CUS0043692,85,CUS0043692
CUS0043699,85,CUS0043699
CUS0043766,75,CUS0043766
CUS0043847,85,CUS0043847
CUS0043853,85,CUS0043853
CUS0043865,160,CUS0043865
CUS0043977,85,CUS0043977
CUS0044003,85,CUS0044003
CUS0044111,85,CUS0044111
CUS0044130,160,CUS0044130
CUS0044137,69,CUS0044137
CUS0044348,85,CUS0044348
CUS0044503,85,CUS0044503
CUS0044507,85,CUS0044507
CUS0044509,85,CUS0044509
CUS0044629,85,CUS0044629
CUS0044726,85,CUS0044726
CUS0044793,85,CUS0044793
CUS0044815,85,CUS0044815
CUS0044835,85,CUS0044835
CUS0044862,85,CUS0044862
CUS0044869,160,CUS0044869
CUS0044888,85,CUS0044888
CUS0044909,160,CUS0044909
CUS0044962,85,CUS0044962
CUS0045006,160,CUS0045006
CUS0045189,85,CUS0045189
CUS0045308,85,CUS0045308
CUS0045533,85,CUS0045533
CUS0045592,85,CUS0045592
CUS0045599,85,CUS0045599
CUS0045601,85,CUS0045601
CUS0045650,160,CUS0045650
CUS0045757,85,CUS0045757
CUS0046054,85,CUS0046054
CUS0046093,85,CUS0046093
CUS0046098,85,CUS0046098
CUS0046214,75,CUS0046214
CUS0046412,75,CUS0046412
CUS0046458,85,CUS0046458
CUS0046656,85,CUS0046656
CUS0047122,85,CUS0047122
CUS0047462,85,CUS0047462
CUS0047479,85,CUS0047479
CUS0047580,85,CUS0047580
CUS0047676,85,CUS0047676
CUS0047678,85,CUS0047678
CUS0047679,160,CUS0047679
CUS0047762,85,CUS0047762
CUS0047941,85,CUS0047941
CUS0047942,85,CUS0047942
CUS0048061,85,CUS0048061
CUS0048121,85,CUS0048121
CUS0048132,85,CUS0048132
CUS0048372,85,CUS0048372
CUS0048501,160,CUS0048501
CUS0048673,85,CUS0048673
CUS0048676,85,CUS0048676
CUS0048761,85,CUS0048761
CUS0048930,85,CUS0048930
CUS0048940,69,CUS0048940
CUS0049008,85,CUS0049008
CUS0049024,85,CUS0049024
CUS0049062,85,CUS0049062
CUS0049104,85,CUS0049104
CUS0049172,85,CUS0049172
CUS0049336,85,CUS0049336
CUS0049346,85,CUS0049346
CUS0049378,85,CUS0049378
CUS0049394,85,CUS0049394
CUS0049395,160,CUS0049395
CUS0049405,85,CUS0049405
CUS0049514,85,CUS0049514
CUS0049568,85,CUS0049568
CUS0049777,85,CUS0049777
CUS0049898,160,CUS0049898
CUS0050035,85,CUS0050035
CUS0050079,85,CUS0050079
CUS0050223,85,CUS0050223
CUS0050225,85,CUS0050225
CUS0050244,85,CUS0050244
CUS0050384,85,CUS0050384
CUS0050455,85,CUS0050455
CUS0050626,85,CUS0050626
CUS0050637,85,CUS0050637
CUS0050666,85,CUS0050666
CUS0050792,85,CUS0050792
CUS0050821,85,CUS0050821
CUS0050895,85,CUS0050895
CUS0050979,85,CUS0050979
CUS0051036,160,CUS0051036
CUS0051123,85,CUS0051123
CUS0051252,85,CUS0051252
CUS0051315,85,CUS0051315
CUS0051512,85,CUS0051512
CUS0051542,85,CUS0051542
CUS0051663,85,CUS0051663
CUS0051795,85,CUS0051795
CUS0051799,85,CUS0051799
CUS0051989,85,CUS0051989
CUS0051997,85,CUS0051997
CUS0052000,85,CUS0052000
CUS0052002,85,CUS0052002
CUS0052047,85,CUS0052047
CUS0052098,85,CUS0052098
CUS0052138,75,CUS0052138
CUS0052295,85,CUS0052295
CUS0052750,85,CUS0052750
CUS0052779,160,CUS0052779
CUS0052803,85,CUS0052803
CUS0053021,75,CUS0053021
CUS0053037,85,CUS0053037
CUS0053145,85,CUS0053145
CUS0053489,75,CUS0053489
CUS0053529,85,CUS0053529
CUS0053550,85,CUS0053550
CUS0053602,160,CUS0053602
CUS0053607,85,CUS0053607
CUS0053738,85,CUS0053738
CUS0053754,85,CUS0053754
CUS0053780,85,CUS0053780
CUS0054259,85,CUS0054259
CUS0054310,85,CUS0054310
CUS0054335,85,CUS0054335
CUS0054401,85,CUS0054401
CUS0054464,85,CUS0054464
CUS0054490,85,CUS0054490
CUS0054492,85,CUS0054492
CUS0054524,85,CUS0054524
CUS0054569,85,CUS0054569
CUS0054609,85,CUS0054609
CUS0054740,85,CUS0054740
CUS0054815,85,CUS0054815
CUS0054822,85,CUS0054822
CUS0054885,85,CUS0054885
CUS0054911,85,CUS0054911
CUS0055003,85,CUS0055003
CUS0055116,85,CUS0055116
CUS0055315,85,CUS0055315
CUS0055319,85,CUS0055319
CUS0055565,160,CUS0055565
CUS0055630,160,CUS0055630
CUS0055735,85,CUS0055735
CUS0055736,85,CUS0055736
CUS0055740,160,CUS0055740
CUS0055773,69,CUS0055773
CUS0055812,85,CUS0055812
CUS0055951,85,CUS0055951
CUS0056010,85,CUS0056010
CUS0056141,85,CUS0056141
CUS0056148,85,CUS0056148
CUS0056222,85,CUS0056222
CUS0056235,85,CUS0056235
CUS0056302,69,CUS0056302
CUS0056471,85,CUS0056471
CUS0056562,85,CUS0056562
CUS0056908,85,CUS0056908
CUS0057067,85,CUS0057067
CUS0057100,85,CUS0057100
CUS0057102,85,CUS0057102
CUS0057158,85,CUS0057158
CUS0057162,85,CUS0057162
CUS0057177,160,CUS0057177
CUS0057263,85,CUS0057263
CUS0057291,85,CUS0057291
CUS0057501,160,CUS0057501
CUS0057715,85,CUS0057715
CUS0057921,85,CUS0057921
CUS0058032,85,CUS0058032
CUS0058036,85,CUS0058036
CUS0058087,85,CUS0058087
CUS0058194,85,CUS0058194
CUS0058316,85,CUS0058316
CUS0058350,160,CUS0058350
CUS0058410,160,CUS0058410
CUS0058612,69,CUS0058612
CUS0058613,69,CUS0058613
CUS0058615,69,CUS0058615
CUS0058620,85,CUS0058620
CUS0058660,85,CUS0058660
CUS0058663,85,CUS0058663
CUS0058666,85,CUS0058666
CUS0058756,85,CUS0058756
CUS0058762,85,CUS0058762
CUS0058798,85,CUS0058798
CUS0058800,69,CUS0058800
CUS0058852,85,CUS0058852
CUS0058858,85,CUS0058858
CUS0058893,85,CUS0058893
CUS0058899,69,CUS0058899
CUS0058903,85,CUS0058903
CUS0058916,85,CUS0058916
CUS0058956,85,CUS0058956
CUS0059012,85,CUS0059012
CUS0059072,85,CUS0059072
CUS0059150,85,CUS0059150
CUS0059172,85,CUS0059172
CUS0059200,85,CUS0059200
CUS0059221,85,CUS0059221
CUS0059248,85,CUS0059248
CUS0059262,85,CUS0059262
CUS0059309,85,CUS0059309
CUS0059312,85,CUS0059312
CUS0059320,85,CUS0059320
CUS0059349,85,CUS0059349
CUS0059496,69,CUS0059496
CUS0059500,85,CUS0059500
CUS0059528,85,CUS0059528
CUS0059636,85,CUS0059636
CUS0059731,85,CUS0059731
CUS0059732,85,CUS0059732
CUS0059824,85,CUS0059824
CUS0059887,85,CUS0059887
CUS0059979,69,CUS0059979
