Mandate ID,Amount,Reference
CUS0000002,85,CUS0000002
CUS0000007,85,CUS0000007
CUS0000009,85,CUS0000009
CUS0000013,235,CUS0000013
CUS0000014,160,CUS0000014
CUS0000018,85,CUS0000018
CUS0000023,160,CUS0000023
CUS0000024,85,CUS0000024
CUS0000029,85,CUS0000029
CUS0000030,85,CUS0000030
CUS0000033,85,CUS0000033
CUS0000035,85,CUS0000035
CUS0000040,85,CUS0000040
CUS0000041,85,CUS0000041
CUS0000044,170,CUS0000044
CUS0000050,85,CUS0000050
CUS0000058,85,CUS0000058
CUS0000061,85,CUS0000061
CUS0000063,85,CUS0000063
CUS0000071,160,CUS0000071
CUS0000075,85,CUS0000075
CUS0000077,85,CUS0000077
CUS0000087,85,CUS0000087
CUS0000088,85,CUS0000088
CUS0000089,310,CUS0000089
CUS0000093,85,CUS0000093
CUS0000114,85,CUS0000114
CUS0000115,85,CUS0000115
CUS0000126,85,CUS0000126
CUS0000129,85,CUS0000129
CUS0000136,85,CUS0000136
CUS0000148,85,CUS0000148
CUS0000164,85,CUS0000164
CUS0000165,85,CUS0000165
CUS0000169,85,CUS0000169
CUS0000214,160,CUS0000214
CUS0000231,160,CUS0000231
CUS0000232,85,CUS0000232
CUS0000237,160,CUS0000237
CUS0000249,85,CUS0000249
CUS0000281,85,CUS0000281
CUS0000286,235,CUS0000286
CUS0000298,85,CUS0000298
CUS0000308,85,CUS0000308
CUS0000309,85,CUS0000309
CUS0000318,160,CUS0000318
CUS0000322,85,CUS0000322
CUS0000333,85,CUS0000333
CUS0000338,85,CUS0000338
CUS0000347,85,CUS0000347
CUS0000348,160,CUS0000348
CUS0000365,385,CUS0000365
CUS0000373,85,CUS0000373
CUS0000377,85,CUS0000377
CUS0000379,85,CUS0000379
CUS0000389,160,CUS0000389
CUS0000397,85,CUS0000397
CUS0000398,160,CUS0000398
CUS0000427,69,CUS0000427
CUS0000429,85,CUS0000429
CUS0000430,85,CUS0000430
CUS0000436,85,CUS0000436
CUS0000437,85,CUS0000437
CUS0000441,85,CUS0000441
CUS0000448,160,CUS0000448
CUS0000449,85,CUS0000449
CUS0000470,160,CUS0000470
CUS0000471,85,CUS0000471
CUS0000482,85,CUS0000482
CUS0000485,245,CUS0000485
CUS0000489,310,CUS0000489
CUS0000492,160,CUS0000492
CUS0000495,85,CUS0000495
CUS0000497,160,CUS0000497
CUS0000499,85,CUS0000499
CUS0000505,85,CUS0000505
CUS0000510,85,CUS0000510
CUS0000520,160,CUS0000520
CUS0000526,170,CUS0000526
CUS0000532,160,CUS0000532
CUS0000535,85,CUS0000535
CUS0000537,85,CUS0000537
CUS0000538,160,CUS0000538
CUS0000543,69,CUS0000543
CUS0000561,85,CUS0000561
CUS0000566,160,CUS0000566
CUS0000569,85,CUS0000569
CUS0000570,85,CUS0000570
CUS0000577,85,CUS0000577
CUS0000578,85,CUS0000578
CUS0000586,85,CUS0000586
CUS0000593,69,CUS0000593
CUS0000606,85,CUS0000606
CUS0000609,85,CUS0000609
CUS0000611,85,CUS0000611
CUS0000618,85,CUS0000618
CUS0000640,85,CUS0000640
CUS0000645,85,CUS0000645
CUS0000646,85,CUS0000646
CUS0000649,85,CUS0000649
CUS0000652,85,CUS0000652
CUS0000653,85,CUS0000653
CUS0000661,85,CUS0000661
CUS0000666,160,CUS0000666
CUS0000668,85,CUS0000668
CUS0000669,85,CUS0000669
CUS0000670,160,CUS0000670
CUS0000673,69,CUS0000673
CUS0000675,75,CUS0000675
CUS0000676,85,CUS0000676
CUS0000678,85,CUS0000678
CUS0000679,85,CUS0000679
CUS0000684,85,CUS0000684
CUS0000700,235,CUS0000700
CUS0000702,235,CUS0000702
CUS0000708,85,CUS0000708
CUS0000709,85,CUS0000709
CUS0000731,85,CUS0000731
CUS0000734,85,CUS0000734
CUS0000754,85,CUS0000754
CUS0000757,75,CUS0000757
CUS0000765,85,CUS0000765
CUS0000778,85,CUS0000778
CUS0000784,160,CUS0000784
CUS0000790,75,CUS0000790
CUS0000795,85,CUS0000795
CUS0000800,85,CUS0000800
CUS0000801,160,CUS0000801
CUS0000803,235,CUS0000803
CUS0000805,85,CUS0000805
CUS0000813,160,CUS0000813
CUS0000822,160,CUS0000822
CUS0000823,85,CUS0000823
CUS0000824,85,CUS0000824
CUS0000829,160,CUS0000829
CUS0000831,160,CUS0000831
CUS0000851,85,CUS0000851
CUS0000858,85,CUS0000858
CUS0000863,160,CUS0000863
CUS0000871,160,CUS0000871
CUS0000875,85,CUS0000875
CUS0000883,85,CUS0000883
CUS0000889,85,CUS0000889
CUS0000893,160,CUS0000893
CUS0000896,85,CUS0000896
CUS0000898,85,CUS0000898
